token,url,name,description,wallet,twitter,instagram,website_url
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,https://opensea.io/Pranksy,Pranksy,An Investor / Collector of #NFTs and OG enthusiast. Co-Founder and owner of 📦 http://NFTBoxes.io,pranksy.eth,https://twitter.com/pranksy,https://instagram.com/pranksynft,NFTBoxes.io
0x105cb4e2818a3114d4ab2799233c20060f67f05c,https://opensea.io/jaft,jaft,,jaft.eth,,,
0x80845058350b8c3df5c3015d8a717d64b3bf9267,https://opensea.io/0x80845058350b8c3df5c3015d8a717d64b3bf9267,Unnamed,,,,,
